Id	EssaySet	Score1	Score2	EssayText
90	1	2	2	additional information that could be useful in order to replicate the experiment would be to list the actual samples in the procedure so you can see what your using . secondly in the procedures i made need to what to weigh the mass in for example they didn t tell you to weigh in grams and i wouldn t be able to complete the experiment easily . it doesn t tell how much vinegar to actually pour into each container in order to replicate i would need to know that .
91	1	3	3	i think that knowing the temperature in the enjoyment would be very useful i m sure it we heated the samples or froze the samples we wouldn t get the same results . also we need to know what type of environment we should place this in . should it be sunny dark windy hot cold etc . i also think we should know what kind of container and how large it should be we don t even know the right amount of vinegar to pour on the samples . this experiment is missing too much information .
92	1	0	0	in order for i for replicate this experiment i would need to know what are the research ing with this experiment what kind of result are being booked at and the mass of each sample at the end of experiment there results .
93	1	3	3	in order to replicate the experiment you would need to know how much vinegar to pour into each container . you would need to know how long to rinse each sample with distilled water and using how much water . you would also need to know how they determined the masses of the samples both in the beginning and end of the experiment and they exact size of the containers that the samples are being placed in .
94	1	1	2	in order to replicate the experiment we would need a control . we would also need the four samples to use . and another thing is what can of vinegar to use and how to weigh the mass of each one . that is what we would need to replicate the experiment .
95	1	3	1	the additional information that is needed in order to replicate the experiment is the amount of vinegar that should be placed in each container . the amount of vinegar must be kept constant in order for the data to be valid . the results acquired from the experiment can be affected if the amount of vinegar was increased or decreased . therefore the amount of vinegar is needed in order to replicate the experiment .
96	1	0	0	in order to replicate this groups procedure you would need to know the independent and dependent variables as well as the control group for the procedure . also to ma he it more clear they would need to include a hypothesis of the experimenting well as a purpose .
97	1	3	3	in order to replicate the experiment the procedure would have to add more details . in the first bullet the four samples should be stated as marble limestone wood and plastic . you should describe the containers where to put the samples and how much you need . there should be a step where you find the starting mass before the experiment . also there should be measurements of how much vinegar should be added . one last thing is when you say to determine the mass on the procedure it should say in grams .
98	1	1	1	they should have told the samples that was used . the second thing was the outcome what happened to the differ .
99	1	3	3	the students need to say what the samples are . they need to
100	1	2	2	the group should of added the amount of vinegar used for control . also they should have compared at least one more trial material before reply conclusion . the recommended sizes of the samples should have also been stated in order for the conclusion to be easy to compare with other group attempting to complete this experiment .
101	1	3	3	additional information i would need to replicate this experiment would be the actual names of the samples . in step i would need the exact amount of vinegar to pour into each container . also in step i would need the amount of distilled water to rinse it off with and for how long .
102	1	2	2	in order to replicate this experiment some additional information i would need is how the gap determined the mass of the samples and what did they use to do so . i would also need to know the amount of vinegar they used to pour in each container as well as what kind of containers they used .
103	1	1	1	first off these groups of students forgot to add in step how much vinegar in going to be poured in each identical container . in step number the students did not say to organize the samples so you can record it as separate data because each sample is different marble limestone wood plastic . the students also forgot to include step which is find the differences in mass . if another group of students were going to do this exact experiment they wouldn t know what they are comparing .
104	1	2	2	if i was doing this experiment i would have taken the temp . of the room i also would have given a measurement of how much vinegar i used .
105	1	0	2	after reading the groups procedure the following additional information is needed you need to observe the containers when you fill each with the content you will need to make sure each container has the very same amount then also make sure that all the containers are in the same room temp .
106	1	1	1	the additional information that is needed it the amount of vinegar being poured into each cut . also you need to record all the information . they need to know how much water they are putting into the containers after hours .
107	1	2	3	you would need the size of the container amount of vinegar used the types of samples . such as earth wood limestone and plastic and how much of each to put in .
108	1	3	3	in addition to the information given you would also need to know how much vinegar to put into each container different amounts could change the results . there should also be a set temperature to keep the samples at because change in temperature can affect the corrosion process . in the experiment it should have told you the samples should be somewhat even size .
109	1	1	1	additional information that is needed in order to replicate the experiment is the measure cents of the liquids poured into the cups . also was size cups are the liquids poured into . in the procedure it says pour vinegar in each of four separate but identical containers . that is the additional information that is needed in order to replicate the experiment .
110	1	0	0	some additional information they could have added was they they should have weighed the sample before they put in the vinegar .
111	1	0	0	for each box they should have done it times so they would have an average .
112	1	1	1	i would need to know what materials i am getting to begin this experiment . what should i be looking for when experiment is going on how do i determine the mas of each segment .
113	1	1	1	some additional information you would need to replicate the experiment is in the procedure include what type of samples your using also do explain why you are using vinegar . finally to tell the reader what your weighing with and why .
114	1	2	2	if i was to replicate the experiment i would need to know the amount of vinegar in each container the size of the containers and what was used to weigh the samples .
115	1	1	1	in order to replicate this experiment you should know how much of each sample you were supposed to start with what you were trying to determine from this experiment and you should know how the containers were kept room temperature outside etc .
116	1	0	0	in order to replicate this this experiment you would need the starting mass ending mass and difference in mass .
117	1	2	3	you would need to find out and label the different sizes and shapes of the samples you don t pour the vinegar in instead you say to drops in each container . you want everything to be the same and when you pour you don t always get the exact amount for each container . also state the mass of ph label of the vinegar .
118	1	0	0	your going to need how much is there in total .
119	1	0	0	pour vinegar in each of the four separate but identical containers . p place one sample in a containers and do the same for the rest p after hours remove sample and rinse p sit and dry for min . p determine the miles .
120	1	2	3	to replicate this experiment you would need to know the mass amount of vinegar used in each cup . it is also necessary to know the temperature of the room that the experiment was performed in . a different temperature could speed or slow the reaction in each cup . the last piece of information required would be he size of the cup used in the experiment . the volume of the cup and or the shape of the cup could completely alter the results of the experiment .
121	1	1	1	to replicate the experiment i would give the required tools in a list so people can be more prepared i would also be more specific on the word samples to describe rocks and stones . and most importantly i would make a control i would put marble limestone wood and plastic in water .
122	1	2	2	in order to replicate the experiment i would need some additional information . first of all i would need to know how much vinegar to use in each container . second of all i would need to know the materials i would be placing in the vinegar .
123	1	1	2	what you would need to know to replicate the experiment is the amount of vinegar to put in each cup . also you would need to list the materials you were using . another thing you would need to know is what measurement of the mass would you use .
124	1	1	1	you would need what samples there what you do after number .
125	1	0	0	it would have been better to have had three trials for the data and to have an average for the data . also a total of the data could have been better too .
126	1	3	3	first you would need to know what the samples are that they are talking about . next you would need to know how much vinegar you need to put in each container . you could also need to how long you should rinse each sample .
127	1	0	0	the additional information i would need to eradicate the experiment i would explain the look of the outcome of the experiment . i would put after hours remove the samples from the container rinse each sample w distilled water . allow the samples to sit and dry for minutes . instead of putting determine the mass of each sample . i would tell you the outcome on what happened and how the experiment turned out .
128	1	0	0	i will need to add on them sub ten by how many number their are . the sample has the amount of four layers it is to divide by eight .
129	1	1	1	in order to replicate this experiment a control would need to be established . also a mass would need to be determined so that every material had the same mass at the beginning of the experiment . in order to accurately replicate this experiment it would help to know if the containers were covered or uncovered for the hours .
130	1	3	3	we would word correct safety measures to take the control the effect of vinegar what temperature to store them at what the identical containers are made of and its size what type of scale to use to mean it the amount of vinegar in each container i more trials
131	1	3	3	in order to replicate this experiment there are a few more things i need to know . the problem does not state what the four different samples are . second i would need to know how much vinegar to pour in each cup . the amount of vinegar could impact the mass . last i would need to where to store the samples for the hour period . different temperatures might affect the different samples .
132	1	2	2	this question would need to include the measurement of the containers the amount of vinegar poured in each cup .
133	1	2	2	in order to replicate this experiment i would need to know what she containers to use and how to measure the mass of the samples . i would also need to know how much vinegar to put in each container .
134	1	0	0	you would need to know the portions of what they used as not to ruin the experiment or not using enough or too much may not give you the same results .
135	1	3	3	in order to replicate the lab the students did you would need to know what materials were need . what kind of area are you going to do the lab in and how much vinegar you need to pour into the samples .
136	1	2	3	the additional information that is needed in the procedure is they should state what samples are going to be used . also they should include how much vinegar we need to pour into the container because different amounts could have different results . lastly it should include the size of the container because it could have a different result .
137	1	2	1	additional information to be included into the procedure to replicate it would have to be to clarify in the first step what the samples are going to be . it would also be good if you were to add where you should put your samples while they are sitting in the vinegar . it would have clarified the procedure also if it were added what we should use to measure the samples . it would also be helpful if the procedure included how much of each sample to test .
138	1	3	3	after reading the group s procedure additional information that a would need in order to replicate the experiment are that a need to know the size of the containers that the samples are put in for they need to be identical . u also need to know that amount of samples u need to put in each container in order to obtain the same starting mass the group of students received from the samples . another factor a should know is the amount no vinegar that u pour into the containers concerning the old example of the experiment . another good price of information would be the location where the samples are drying and amount of sunlight .
139	1	3	3	some additional information needed would be where the containers are to sit . such as in the sun or in the refrigerator . how much vinegar are we putting into containers and what kind of containers are using
140	1	2	2	the students should say in the experiment what samples are being used . they should also say how much water they should use when they are distilling the sample and they also need to say how much vinegar they are pouring into each labeled cup .
141	1	2	2	three additional pieces of information that i would need to know to replicate this experiment would be what exactly the four samples are of how much vinegar to pour into each container and what exactly the purpose or problem statement for this experiment was . also how much distilled water i would need to use .
142	1	2	2	in the procedure i would also need to know how much vinegar to use which scale of measure they are using and how big each container is .
143	1	3	2	in order to complete this experiment you would need additional information . you would need to know the list of materials to have everything to complete your experiment . you would also need to know where the experiment was performed to weigh any outside factors . you might also need to know to know the constants . what type of vinegar and what time you started .
144	1	3	3	to replicate this experiment you would also need to know vinegar they used the size of the cup and the the size of the samples .
145	1	2	2	after reading the procedure there were a few things i need to know to replicate the experiment . one thing is the amount of vinegar used . another is how much water to use when rinsing it . the last thing is how to store the samples for hours . there were a few problems with this procedure .
146	1	3	3	i would the amount of vinegar that should be put into each cup also should the containers be covered or not it would be helpful to know what type of containers should the materials be put into .
147	1	1	1	i need to know how big the container is how many of them .
148	1	2	2	what are the samples what is the material use how much vinegar is poured in the containers .
149	1	0	0	the students should have made a hypothesis of what they thought was going to happen . also they should have stated what they were investigating . they should have made a conclusion from the results .
150	1	1	1	in order to replicate the experiment you would need additional information like how much vinegar was poured into the separate containers what tools to use such as safety goggles and having more trials .
151	1	1	1	they needed to add what the samples were how the mass should be determined they need to tell you to table the containers and you need to record tour data .
152	1	2	1	some additional information i would need in order to replicate the experiment would be how much vinegar do i put in each container . also what am i supposed to label the container i m not quite sure how to measure the mass by using a scale . if so the same scale for each sample . also how big are the samples supposed to be .
153	1	3	3	to replicate this experiment you would need to know the volume of the vinegar in the cup the temperature of the surroundings and the exact acidity of the vinegar on the ph scale .
154	1	0	0	to replicate the group experiment you would need to add information even as if the lab is valid .
155	1	2	3	you would need to add how much vinegar is needed to be poured in the container . i think the students should have started out with the same mass . what type of vinegar and does temperature matters .
156	1	0	0	some additional information would be how much of each sample would be put into the vinegar . also maybe not have then sit for hours but had then sit less . they could also have rinsed them with replica water instead of distilled water .
157	1	2	2	the additional information necessary to replicate the experiment are p . the amount of vinegar to pour this must remain constant in a credible experiment . p . the types of samples used should be in the procedure . p .
158	1	1	1	to replicate the experiment you would need to find out how much vinegar to pour into the containers . we know that marble lost grams limestone lost . grams plastic lost grams and wood stayed the same but we need to know how much vinegar was used for each sample .
159	1	0	0	we had all the information we need to do the experiment we already know that wood is the one that has more mass out of all of them and that plastic is the least one but maybe if they would ve explained it better to be able to complete the mass because it looks like they only have estimates for the mass .
160	1	2	2	the additional information you would need in order to replicate the experiment is the difference in mass from the beginning of the experiment to the end of the experiment . you d also need to know what all the samples were and would need the same amount of vinegar in each container .
161	1	1	1	to replicate the groups procedure i would need for them to tell the reader how much vinegar to put in the containers how much of one sample material do they want and how they want us to determine the mass .
162	1	1	1	there are a couple additions that should be made to replicate the lab accurately . in procedure it does not say to measure the mass of the samples i or without a petra dish . it also should say that they should be measured with a particular instrument such as balance beam . another part that was left out was that they forgot to tell how much vinegar the four samples need because if one gets more than another it might change the weight and how much water prince the samples with .
163	1	1	1	you would need to tell what type of samples they are . also what type of utensil to use to measure the mass of the samples . also would need repeat or replicating trials to re test the experiment . or you ll also need to tell what to label the containers by in this experiment you ll also need to reach the mass or how each sample looks by using your five senses or whatever or not to make a data same to show your results .
164	1	2	2	in order to replicate this experiment i would need to know what kind of samples i am using . the group states to determine the mass of four samples but does not tell me what kind of material these samples are . also it would be helpful to know how much of each sample i should measure . again this groups procedure is very being detail and it would help to make the experiment as accurate as possible to know how much of the sample i should be using . finally in order to replicate this experiment i would need to know how much vinegar i should add to each sample . different amounts of vinegar will affect each sample differently making the experiment inaccurate .
165	1	2	2	in order to be able to duplicate this experiment you need the following information how much vinegar to use . also how big are the containers i . e what is what is their volume . and lastly how much of each sample to put into the containers .
166	1	1	1	additional information i would need is how much vinegar was put onto each sample . this is because if more vinegar is put on one sample than another it will most likely after the mass in different ways for example if more vinegar is put on wood than plastic then wood will have more mass lost than the plastic would .
167	1	0	0	in order to replicate this experiment you would need to state exactly how much of a certain chemicals you need to pour . in most cases it is imperative that you get the right amount of a substance or your results may be sufficient .
168	1	3	3	to repeat this experiment i would need to know the four different samples without knowing that i don t know what i m testing . i also need to know how much vinegar in each of the cups . i would need to know where to put all of the different containers . i don t know if they need to stay at room temp cold or not .
169	1	0	0	you should repeat each step in the experiment . start with step and go all the way to step .
170	1	1	1	to replicate this procedure you would need to know how much vinegar to pour into each of the containers . you would also need to know when you started to know when to finish the experiment .
171	1	1	0	what materials should we use because in order to do this experiment it has to tell us what substances are being used . their procedure also does not tell us to get a starting weight .
172	1	2	2	after reading the group s procedure in order to replicate the experiment i would need to know the size of the containers because the smaller the container the more densely packed the samples are . i would also need to know whether or not light and heat or dark and cold will affect the experiments .
